table;date_heure;date_propre;heure_propre;duree_milliseconde;duree_seconde;duree_minute;moyenne;amp_max;amp_min;somme_amp;ecart_type;indice_duree;indice_amplitude;id_debut;id_fin;avisaro;signal;periode;traitement
avisaro_20160901;1472709717;01/09/2016;08:01:57;3975;4.0;0.1;53;302;16;8450;46.08;3;3190;507241;507400;002;1;2;16.00
avisaro_20160901;1472709828;01/09/2016;08:03:48;8975;9.0;0.1;45;212;14;16012;21.43;6;4391;511681;512040;002;2;2;16.00
avisaro_20160901;1472709837;01/09/2016;08:03:57;4975;5.0;0.1;44;68;26;8637;6.88;4;3225;512041;512240;002;3;2;16.00
avisaro_20160901;1472709842;01/09/2016;08:04:02;50977;51.0;0.8;53;241;29;107491;13.08;36;11379;512241;514280;002;4;2;16.00
avisaro_20160901;1472709988;01/09/2016;08:06:28;3975;4.0;0.1;51;88;24;8152;14.40;3;3133;518081;518240;002;5;2;16.00
avisaro_20160901;1472709992;01/09/2016;08:06:32;1975;2.0;0.0;44;80;24;3484;9.68;1;2048;518241;518320;002;6;2;16.00
avisaro_20160901;1472709995;01/09/2016;08:06:35;1975;2.0;0.0;44;74;25;3497;8.37;1;2052;518361;518440;002;7;2;16.00
avisaro_20160901;1472709998;01/09/2016;08:06:38;29975;30.0;0.5;63;163;20;74863;26.44;21;9500;518481;519680;002;8;2;16.00
avisaro_20160901;1472710063;01/09/2016;08:07:43;10975;11.0;0.2;78;161;15;34131;26.68;8;10589;521081;521520;002;9;2;16.00
avisaro_20160901;1472710238;01/09/2016;08:10:38;37975;38.0;0.6;74;238;17;112111;22.07;27;19192;528081;529600;002;10;2;16.00
avisaro_20160901;1472710373;01/09/2016;08:12:53;4975;5.0;0.1;79;362;17;15734;102.98;4;8874;533481;533680;002;11;2;16.00
avisaro_20160901;1472710477;01/09/2016;08:14:37;52976;53.0;0.9;47;107;27;99293;7.04;37;10934;537641;539760;002;12;2;16.00
avisaro_20160901;1472714903;01/09/2016;09:28:23;79976;80.0;1.3;49;74;34;155439;5.90;57;13680;714681;717880;002;13;2;16.00
avisaro_20160901;1472714984;01/09/2016;09:29:44;3975;4.0;0.1;43;57;35;6879;4.46;3;2878;717921;718080;002;14;2;16.00
avisaro_20160901;1472715016;01/09/2016;09:30:16;1975;2.0;0.0;43;50;35;3426;3.49;1;2031;719201;719280;002;15;3;16.00
avisaro_20160901;1472728336;01/09/2016;13:12:16;17781233;17781.2;296.4;78;363;18;55350372;4.64;12573;426443;1252001;1963240;002;16;4;16.00
avisaro_20160901;1472748131;01/09/2016;18:42:11;2975;3.0;0.0;48;78;25;5660;11.17;2;2610;2043801;2043920;002;17;4;16.00
avisaro_20160901;1472748293;01/09/2016;18:44:53;2975;3.0;0.0;49;365;15;5797;68.04;2;3449;2050281;2050400;002;18;4;16.00
avisaro_20160901;1472748348;01/09/2016;18:45:48;14982;15.0;0.2;56;363;28;33362;40.00;11;6343;2052481;2053080;002;19;4;16.00
avisaro_20160901;1472748399;01/09/2016;18:46:39;1329997;1330.0;22.2;49;364;28;2597293;9.77;940;55967;2054521;2107720;002;20;4;16.00
avisaro_20160901;1472749729;01/09/2016;19:08:49;8920120;8920.1;148.7;49;326;14;17293143;4.10;6307;144355;2107721;2464520;002;21;4;16.00
avisaro_20160901;1472763121;01/09/2016;22:52:01;11975;12.0;0.2;48;238;17;22703;23.30;8;5228;2643361;2643840;002;22;4;16.00
avisaro_20160901;1472763134;01/09/2016;22:52:14;2975;3.0;0.0;44;79;29;5214;7.97;2;2506;2643881;2644000;002;23;4;16.00
avisaro_20160901;1472763137;01/09/2016;22:52:17;53975;54.0;0.9;56;149;30;119508;11.35;38;12000;2644001;2646160;002;24;4;16.00
avisaro_20160901;1472764684;01/09/2016;23:18:04;2975;3.0;0.0;49;360;17;5776;66.73;2;3443;2705881;2706000;002;25;4;16.00
avisaro_20160901;1472764713;01/09/2016;23:18:33;2975;3.0;0.0;50;356;18;5917;70.67;2;3484;2707041;2707160;002;26;4;16.00
avisaro_20160901;1472764747;01/09/2016;23:19:07;2975;3.0;0.0;47;342;16;5640;68.02;2;3402;2708401;2708520;002;27;4;16.00
avisaro_20160901;1472764754;01/09/2016;23:19:14;2975;3.0;0.0;44;94;24;5259;16.36;2;2516;2708681;2708800;002;28;4;16.00
avisaro_20160901;1472764788;01/09/2016;23:19:48;2975;3.0;0.0;48;325;17;5663;61.10;2;3409;2710041;2710160;002;29;4;16.00
avisaro_20160901;1472764823;01/09/2016;23:20:23;3975;4.0;0.1;63;349;17;9926;68.82;3;4514;2711441;2711600;002;30;4;16.00
avisaro_20160901;1472764843;01/09/2016;23:20:43;3975;4.0;0.1;55;327;21;8722;52.89;3;3241;2712241;2712400;002;31;4;16.00
